"Anio","Mes","Recuperados","Clase","Municipio"
2021,2,177,"Predicho","GIRARDOTA"
2021,2,2365,"Predicho","ITAGUI"
2021,2,350,"Predicho","LA ESTRELLA"
2021,2,23871,"Predicho","MEDELLIN"
2021,2,605,"Predicho","SABANETA"
2021,3,132,"Predicho","BARBOSA"
2021,3,2848,"Predicho","BELLO"
2021,3,715,"Predicho","CALDAS"
2021,3,336,"Predicho","COPACABANA"
2021,3,1577,"Predicho","ENVIGADO"
2021,3,177,"Predicho","GIRARDOTA"
2021,3,2326,"Predicho","ITAGUI"
2021,3,343,"Predicho","LA ESTRELLA"
2021,3,23089,"Predicho","MEDELLIN"
2021,3,596,"Predicho","SABANETA"
2021,4,132,"Predicho","BARBOSA"
2021,4,2839,"Predicho","BELLO"
2021,4,707,"Predicho","CALDAS"
2021,4,339,"Predicho","COPACABANA"
2021,4,1542,"Predicho","ENVIGADO"
2021,4,178,"Predicho","GIRARDOTA"
2021,4,2287,"Predicho","ITAGUI"
2021,4,337,"Predicho","LA ESTRELLA"
2021,4,22331,"Predicho","MEDELLIN"
2021,4,587,"Predicho","SABANETA"
2021,5,132,"Predicho","BARBOSA"
2021,5,2829,"Predicho","BELLO"
2021,5,699,"Predicho","CALDAS"
2021,5,343,"Predicho","COPACABANA"
2021,5,1508,"Predicho","ENVIGADO"
2021,5,178,"Predicho","GIRARDOTA"
2021,5,2249,"Predicho","ITAGUI"
2021,5,330,"Predicho","LA ESTRELLA"
2021,5,21599,"Predicho","MEDELLIN"
2021,5,578,"Predicho","SABANETA"
2021,6,132,"Predicho","BARBOSA"
2021,6,2819,"Predicho","BELLO"
2021,6,691,"Predicho","CALDAS"
2021,6,346,"Predicho","COPACABANA"
2021,6,1475,"Predicho","ENVIGADO"
2021,6,178,"Predicho","GIRARDOTA"
2021,6,2212,"Predicho","ITAGUI"
2021,6,324,"Predicho","LA ESTRELLA"
2021,6,20891,"Predicho","MEDELLIN"
2021,6,569,"Predicho","SABANETA"
2021,7,231,"Predicho","BARBOSA"
2021,7,4912,"Predicho","BELLO"
2021,7,1195,"Predicho","CALDAS"
2021,7,611,"Predicho","COPACABANA"
2021,7,2521,"Predicho","ENVIGADO"
2021,7,312,"Predicho","GIRARDOTA"
2021,7,3803,"Predicho","ITAGUI"
2021,7,555,"Predicho","LA ESTRELLA"
2021,7,35320,"Predicho","MEDELLIN"
2021,7,980,"Predicho","SABANETA"
2021,8,132,"Predicho","BARBOSA"
2021,8,2800,"Predicho","BELLO"
2021,8,676,"Predicho","CALDAS"
2021,8,353,"Predicho","COPACABANA"
2021,8,1410,"Predicho","ENVIGADO"
2021,8,178,"Predicho","GIRARDOTA"
2021,8,2139,"Predicho","ITAGUI"
2021,8,311,"Predicho","LA ESTRELLA"
2021,8,19543,"Predicho","MEDELLIN"
2021,8,552,"Predicho","SABANETA"
2021,9,132,"Predicho","BARBOSA"
2021,9,2791,"Predicho","BELLO"
2021,9,669,"Predicho","CALDAS"
2021,9,357,"Predicho","COPACABANA"
2021,9,1379,"Predicho","ENVIGADO"
2021,9,179,"Predicho","GIRARDOTA"
2021,9,2104,"Predicho","ITAGUI"
2021,9,305,"Predicho","LA ESTRELLA"
2021,9,18902,"Predicho","MEDELLIN"
2021,9,544,"Predicho","SABANETA"
2021,10,132,"Predicho","BARBOSA"
2021,10,2782,"Predicho","BELLO"
2021,10,662,"Predicho","CALDAS"
2021,10,361,"Predicho","COPACABANA"
2021,10,1348,"Predicho","ENVIGADO"
2021,10,179,"Predicho","GIRARDOTA"
2021,10,2069,"Predicho","ITAGUI"
2021,10,299,"Predicho","LA ESTRELLA"
2021,10,18282,"Predicho","MEDELLIN"
2021,10,536,"Predicho","SABANETA"
2021,11,132,"Predicho","BARBOSA"
2021,11,2772,"Predicho","BELLO"
2021,11,654,"Predicho","CALDAS"
2021,11,365,"Predicho","COPACABANA"
2021,11,1319,"Predicho","ENVIGADO"
2021,11,179,"Predicho","GIRARDOTA"
2021,11,2034,"Predicho","ITAGUI"
2021,11,293,"Predicho","LA ESTRELLA"
2021,11,17682,"Predicho","MEDELLIN"
2021,11,528,"Predicho","SABANETA"
2021,12,132,"Predicho","BARBOSA"
2021,12,2763,"Predicho","BELLO"
2021,12,647,"Predicho","CALDAS"
2021,12,368,"Predicho","COPACABANA"
2021,12,1289,"Predicho","ENVIGADO"
2021,12,179,"Predicho","GIRARDOTA"
2021,12,2001,"Predicho","ITAGUI"
2021,12,288,"Predicho","LA ESTRELLA"
2021,12,17102,"Predicho","MEDELLIN"
2021,12,520,"Predicho","SABANETA"
2022,1,274,"Predicho","BARBOSA"
2022,1,5932,"Predicho","BELLO"
2022,1,1511,"Predicho","CALDAS"
2022,1,680,"Predicho","COPACABANA"
2022,1,3412,"Predicho","ENVIGADO"
2022,1,366,"Predicho","GIRARDOTA"
2022,1,4976,"Predicho","ITAGUI"
2022,1,739,"Predicho","LA ESTRELLA"
2022,1,51059,"Predicho","MEDELLIN"
2022,1,1271,"Predicho","SABANETA"
2022,2,121,"Predicho","BARBOSA"
2022,2,2601,"Predicho","BELLO"
2022,2,658,"Predicho","CALDAS"
2022,2,302,"Predicho","COPACABANA"
2022,2,1468,"Predicho","ENVIGADO"
2022,2,161,"Predicho","GIRARDOTA"
2022,2,2153,"Predicho","ITAGUI"
2022,2,319,"Predicho","LA ESTRELLA"
2022,2,21729,"Predicho","MEDELLIN"
2022,2,551,"Predicho","SABANETA"
